country,iso3_code,year,crop,element,unit,value,data_status,source_note
Azerbaijan,AZE,2014,Wheat,Area harvested,ha,587961.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Wheat,Area harvested,ha,588892.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Wheat,Area harvested,ha,606140.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Wheat,Area harvested,ha,590191.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Wheat,Area harvested,ha,570822.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Wheat,Area harvested,ha,586654.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Wheat,Area harvested,ha,582966.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Wheat,Area harvested,ha,607744.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Wheat,Area harvested,ha,610836.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Wheat,Area harvested,ha,602400.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Wheat,Area harvested,ha,642463.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Barley,Area harvested,ha,336786.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Barley,Area harvested,ha,314774.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Barley,Area harvested,ha,338112.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Barley,Area harvested,ha,330472.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Barley,Area harvested,ha,330132.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Barley,Area harvested,ha,320215.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Barley,Area harvested,ha,330299.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Barley,Area harvested,ha,344839.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Barley,Area harvested,ha,340803.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Barley,Area harvested,ha,337444.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Barley,Area harvested,ha,346942.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Maize,Area harvested,ha,37928.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Maize,Area harvested,ha,38006.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Maize,Area harvested,ha,39844.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Maize,Area harvested,ha,39119.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Maize,Area harvested,ha,37762.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Maize,Area harvested,ha,41947.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Maize,Area harvested,ha,40664.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Maize,Area harvested,ha,41366.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Maize,Area harvested,ha,43709.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Maize,Area harvested,ha,43018.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Maize,Area harvested,ha,44515.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Potatoes,Area harvested,ha,58842.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Potatoes,Area harvested,ha,59597.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Potatoes,Area harvested,ha,63494.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Potatoes,Area harvested,ha,60340.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Potatoes,Area harvested,ha,60362.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Potatoes,Area harvested,ha,60543.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Potatoes,Area harvested,ha,61622.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Potatoes,Area harvested,ha,58373.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Potatoes,Area harvested,ha,60425.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Potatoes,Area harvested,ha,58532.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Potatoes,Area harvested,ha,56900.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Vegetables,Area harvested,ha,79935.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Vegetables,Area harvested,ha,77918.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Vegetables,Area harvested,ha,77491.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Vegetables,Area harvested,ha,77198.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Vegetables,Area harvested,ha,82495.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Vegetables,Area harvested,ha,82461.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Vegetables,Area harvested,ha,82596.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Vegetables,Area harvested,ha,82982.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Vegetables,Area harvested,ha,83854.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Vegetables,Area harvested,ha,81338.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Vegetables,Area harvested,ha,82149.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Fruits and berries,Area harvested,ha,147980.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Fruits and berries,Area harvested,ha,143975.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Fruits and berries,Area harvested,ha,148215.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Fruits and berries,Area harvested,ha,153391.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Fruits and berries,Area harvested,ha,151080.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Fruits and berries,Area harvested,ha,150613.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Fruits and berries,Area harvested,ha,154888.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Fruits and berries,Area harvested,ha,157340.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Fruits and berries,Area harvested,ha,157738.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Fruits and berries,Area harvested,ha,156406.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Fruits and berries,Area harvested,ha,159760.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Grapes,Area harvested,ha,16514.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Grapes,Area harvested,ha,17635.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2016,Grapes,Area harvested,ha,16935.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2017,Grapes,Area harvested,ha,17741.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2018,Grapes,Area harvested,ha,18192.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2019,Grapes,Area harvested,ha,17726.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2020,Grapes,Area harvested,ha,17939.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2021,Grapes,Area harvested,ha,19281.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2022,Grapes,Area harvested,ha,17666.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2023,Grapes,Area harvested,ha,18623.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2024,Grapes,Area harvested,ha,19098.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2014,Cotton,Area harvested,ha,24027.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
Azerbaijan,AZE,2015,Cotton,Area harvested,ha,26331.0,synthetic_demo,Synthetic demo dataset structured for FAOSTAT-style crop production analysis
