year,total_production_tonnes,total_area_harvested_ha,weighted_yield_kg_per_ha,production_yoy_growth_pct
2014,6598878.0,1306235.0,5051.830643031308,
2015,6632734.0,1283488.0,5167.741342342118,0.5130569166455157
2016,7009905.0,1334518.0,5252.76167125509,5.6865087609423215
2017,6942637.0,1315642.0,5276.995565662999,-0.9596135753622947
2018,6502345.0,1300124.0,5001.326796520947,-6.341855407390595
2019,7191937.0,1313284.0,5476.299871162673,10.605281633010865
2020,7105652.0,1326474.0,5356.797042384547,-1.1997463270326247
2021,7570261.0,1373083.0,5513.330949403641,6.538583651436913
2022,8250427.0,1379970.0,5978.70026159989,8.984710038398935
2023,7831111.0,1366098.0,5732.466484834909,-5.082355131437444
2024,8724019.0,1419928.0,6143.986878207909,11.402060320687578
